Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,LayAOAV,ProbH,ProbD,ProbA,TotalProb,NormProbH,NormProbD,NormProbA,Margin,SpreadHA,RatioHA,LogOddsH,LogOddsD,LogOddsA
2020-09-12,2020,Fulham,Arsenal,0,3,A,6.0,4.33,1.53,1,0.16666666666666666,0.23094688221709006,0.6535947712418301,1.0512083201255868,0.15854770503220061,0.21969658895916944,0.6217557060086298,5.120832012558685,4.47,3.921566064335906,1.791759469228055,1.4655675420143985,0.4252677354043441
2020-09-12,2020,Crystal Palace,Southampton,1,0,H,3.1,3.25,2.37,1,0.3225806451612903,0.3076923076923077,0.42194092827004215,1.0522138811236401,0.3065732651396048,0.2924237298254692,0.4010030050349261,5.221388112364012,0.73,1.308016325731508,1.1314021114911006,1.1786549963416462,0.8628899551470398
2020-09-12,2020,Liverpool,Leeds,4,3,H,1.28,6.0,9.5,1,0.78125,0.16666666666666666,0.10526315789473684,1.0531798245614035,0.7418011452368558,0.15825091098386257,0.09994794377928162,5.317982456140347,-8.22,0.13473682792243918,0.2468600779315258,1.791759469228055,2.2512917986064953
2020-09-12,2020,West Ham,Newcastle,0,2,A,2.15,3.4,3.4,1,0.46511627906976744,0.29411764705882354,0.29411764705882354,1.0533515731874146,0.44155844155844154,0.2792207792207792,0.2792207792207792,5.335157318741457,-1.25,0.632352755190366,0.7654678421395714,1.2237754316221157,1.2237754316221157
2020-09-13,2020,West Brom,Leicester,0,3,A,3.8,3.6,1.95,1,0.2631578947368421,0.2777777777777778,0.5128205128205129,1.053756185335133,0.2497331910352187,0.263607257203842,0.4866595517609391,5.375618533513293,1.8499999999999999,1.9487169493759233,1.33500106673234,1.2809338454620642,0.6678293725756554
2020-09-13,2020,Tottenham,Everton,0,1,A,1.83,3.6,4.33,1,0.5464480874316939,0.2777777777777778,0.23094688221709006,1.0551727474265618,0.517875474669351,0.2632533662902535,0.2188711590403955,5.517274742656175,-2.5,0.4226326968515712,0.6043159668533296,1.2809338454620642,1.4655675420143985
2020-09-14,2020,Brighton,Chelsea,1,3,A,5.0,4.33,1.61,1,0.2,0.23094688221709006,0.6211180124223602,1.0520648946394502,0.1901023416131962,0.21951771548867918,0.5903799428981247,5.206489463945019,3.3899999999999997,3.1055881331750723,1.6094379124341003,1.4655675420143985,0.4762341789963717
2020-09-14,2020,Sheffield United,Wolves,0,2,A,3.25,3.1,2.37,1,0.3076923076923077,0.3225806451612903,0.42194092827004215,1.0522138811236401,0.2924237298254692,0.3065732651396048,0.4010030050349261,5.221388112364012,0.8799999999999999,1.3713074382669035,1.1786549963416462,1.1314021114911006,0.8628899551470398
2020-09-19,2020,Everton,West Brom,5,2,H,1.5,4.2,6.5,1,0.6666666666666666,0.23809523809523808,0.15384615384615385,1.0586080586080584,0.6297577854671281,0.2249134948096886,0.14532871972318342,5.86080586080584,-5.0,0.23076919526627765,0.4054651081081644,1.4350845252893227,1.8718021769015913
2020-09-19,2020,Leeds,Fulham,4,3,H,1.61,3.9,5.75,1,0.6211180124223602,0.25641025641025644,0.17391304347826086,1.0514413123108777,0.5907300817933958,0.2438654953044532,0.16540442290215085,5.144131231087767,-4.14,0.2799999513043563,0.4762341789963717,1.3609765531356006,1.749199854809259
2020-09-19,2020,Man United,Crystal Palace,1,3,A,1.3,5.5,9.5,1,0.7692307692307692,0.18181818181818182,0.10526315789473684,1.056312108943688,0.7282229965156793,0.17212543554006968,0.09965156794425085,5.631210894368799,-8.2,0.13684209085872728,0.26236426446749106,1.7047480922384253,2.2512917986064953
2020-09-19,2020,Arsenal,West Ham,2,1,H,1.53,4.5,5.5,1,0.6535947712418301,0.2222222222222222,0.18181818181818182,1.0576351752822342,0.6179775280898876,0.21011235955056176,0.17191011235955056,5.763517528223416,-3.9699999999999998,0.278181767603315,0.4252677354043441,1.5040773967762742,1.7047480922384253
2020-09-20,2020,Southampton,Tottenham,2,5,A,3.0,3.3,2.37,0,0.3333333333333333,0.30303030303030304,0.42194092827004215,1.0583045646336786,0.31496919173613624,0.286335628851033,0.39869517941283067,5.830456463367861,0.6299999999999999,1.2658222507079109,1.0986122886681098,1.1939224684724346,0.8628899551470398
2020-09-20,2020,Newcastle,Brighton,0,3,A,2.6,3.1,2.87,1,0.3846153846153846,0.3225806451612903,0.3484320557491289,1.0556280855258038,0.364347434374872,0.3055817191531185,0.3300708464720095,5.562808552580378,-0.27,0.9059230292951117,0.9555114450274363,1.1314021114911006,1.0543120297715298
2020-09-20,2020,Chelsea,Liverpool,0,2,A,3.1,3.6,2.2,1,0.3225806451612903,0.2777777777777778,0.45454545454545453,1.0549038774845227,0.30579150579150577,0.2633204633204633,0.43088803088803085,5.4903877484522745,0.8999999999999999,1.4090902685953324,1.1314021114911006,1.2809338454620642,0.7884573603642703
2020-09-20,2020,Leicester,Burnley,4,2,H,1.61,4.0,5.5,1,0.6211180124223602,0.25,0.18181818181818182,1.052936194240542,0.5898914063547392,0.23743129105778257,0.17267730258747824,5.293619424054197,-3.8899999999999997,0.29272721950414193,0.4762341789963717,1.3862943611198906,1.7047480922384253
2020-09-21,2020,Aston Villa,Sheffield United,1,0,H,2.7,3.1,2.75,1,0.37037037037037035,0.3225806451612903,0.36363636363636365,1.0565873791680245,0.3505345394736841,0.30530427631578944,0.34416118421052627,5.658737916802448,-0.04999999999999982,0.9818178247935183,0.9932517730102834,1.1314021114911006,1.0116009116784799
2020-09-21,2020,Wolves,Man City,1,3,A,6.5,4.33,1.5,1,0.15384615384615385,0.23094688221709006,0.6666666666666666,1.0514597027299106,0.14631673800405498,0.2196440639783735,0.6340391980175715,5.145970272991063,5.0,4.3333304444463705,1.8718021769015913,1.4655675420143985,0.4054651081081644
2020-09-26,2020,Brighton,Man United,2,3,A,4.75,3.75,1.72,1,0.21052631578947367,0.26666666666666666,0.5813953488372093,1.0585883312933497,0.19887458567794647,0.2519078085253989,0.5492176057966546,5.858833129334973,3.0300000000000002,2.7616263013800575,1.55814461804655,1.3217558399823195,0.5423242908253617
2020-09-26,2020,Crystal Palace,Everton,1,2,A,3.75,3.25,2.1,1,0.26666666666666666,0.3076923076923077,0.47619047619047616,1.0505494505494504,0.2538354253835426,0.29288702928870297,0.4532775453277546,5.054945054945037,1.65,1.7857134353745543,1.3217558399823195,1.1786549963416462,0.7419373447293773
2020-09-26,2020,West Brom,Chelsea,3,3,D,9.0,4.75,1.36,1,0.1111111111111111,0.21052631578947367,0.7352941176470588,1.0569315445476435,0.10512611879576893,0.19918633034987795,0.6956875508543532,5.693154454764349,7.64,6.617642192910152,2.1972245773362196,1.55814461804655,0.3074846997479607
2020-09-26,2020,Burnley,Southampton,0,1,A,3.2,3.3,2.3,1,0.3125,0.30303030303030304,0.4347826086956522,1.050312911725955,0.29753038024304196,0.28851430811446493,0.4139553116424932,5.031291172595509,0.9000000000000004,1.3913037429114161,1.1631508098056809,1.1939224684724346,0.8329091229351039
2020-09-27,2020,Sheffield United,Leeds,0,1,A,2.7,3.3,2.62,1,0.37037037037037035,0.30303030303030304,0.38167938931297707,1.0550800627136505,0.3510353227771011,0.28721071863581,0.36175395858708886,5.508006271365051,0.08000000000000007,1.0305339578114665,0.9932517730102834,1.1939224684724346,0.9631743177730056
2020-09-27,2020,Tottenham,Newcastle,1,1,D,1.45,4.5,7.0,1,0.6896551724137931,0.2222222222222222,0.14285714285714285,1.0547345374931583,0.6538661131292164,0.21069019200830302,0.13544369486248053,5.473453749315826,-5.55,0.20714282755102462,0.371563556432483,1.5040773967762742,1.9459101490553132
2020-09-27,2020,Man City,Leicester,2,5,A,1.28,6.0,9.5,0,0.78125,0.16666666666666666,0.10526315789473684,1.0531798245614035,0.7418011452368558,0.15825091098386257,0.09994794377928162,5.317982456140347,-8.22,0.13473682792243918,0.2468600779315258,1.791759469228055,2.2512917986064953
2020-09-27,2020,West Ham,Wolves,4,0,H,3.6,3.5,2.05,1,0.2777777777777778,0.2857142857142857,0.48780487804878053,1.051296941540844,0.2642238998342847,0.2717731541152642,0.46400294605045117,5.1296941540843966,1.5500000000000003,1.756096704343071,1.2809338454620642,1.252762968495368,0.7178397931503168
2020-09-28,2020,Fulham,Aston Villa,0,3,A,2.9,3.25,2.5,1,0.3448275862068966,0.3076923076923077,0.4,1.0525198938992042,0.3276209677419355,0.2923387096774194,0.3800403225806452,5.2519893899204195,0.3999999999999999,1.1599995360001856,1.0647107369924282,1.1786549963416462,0.9162907318741551
2020-09-28,2020,Liverpool,Arsenal,3,1,H,1.45,4.75,6.5,1,0.6896551724137931,0.21052631578947367,0.15384615384615385,1.0540276420494208,0.6543046357615894,0.1997350993377483,0.14596026490066225,5.402764204942079,-5.05,0.22307688875740173,0.371563556432483,1.55814461804655,1.8718021769015913
2020-10-03,2020,Chelsea,Crystal Palace,4,0,H,1.4,4.75,8.0,1,0.7142857142857143,0.21052631578947367,0.125,1.0498120300751879,0.6803939122649956,0.20053715308863027,0.11906893464637423,4.981203007518786,-6.6,0.17499997812500273,0.3364722366212129,1.55814461804655,2.0794415416798357
2020-10-03,2020,Everton,Brighton,4,2,H,1.72,3.75,4.8,1,0.5813953488372093,0.26666666666666666,0.20833333333333334,1.0563953488372093,0.5503577325261421,0.25243074665199045,0.19721152082186755,5.639534883720931,-3.08,0.3583332586805711,0.5423242908253617,1.3217558399823195,1.5686159179138452
2020-10-03,2020,Leeds,Man City,1,1,D,7.5,5.25,1.36,1,0.13333333333333333,0.19047619047619047,0.7352941176470588,1.0591036414565824,0.12589262099973555,0.17984660142819361,0.6942607775720709,5.910364145658242,6.14,5.514701827425127,2.0149030205422647,1.6582280766035324,0.3074846997479607
2020-10-03,2020,Newcastle,Burnley,3,1,H,2.4,3.2,3.1,1,0.4166666666666667,0.3125,0.3225806451612903,1.051747311827957,0.39616613418530355,0.2971246006389776,0.30670926517571884,5.1747311827957,-0.7000000000000002,0.7741932986473229,0.8754687373538999,1.1631508098056809,1.1314021114911006
2020-10-04,2020,Leicester,West Ham,0,3,A,1.61,4.2,5.25,1,0.6211180124223602,0.23809523809523808,0.19047619047619047,1.0496894409937887,0.591715976331361,0.22682445759368838,0.1814595660749507,4.968944099378869,-3.6399999999999997,0.3066666082539794,0.4762341789963717,1.4350845252893227,1.6582280766035324
2020-10-04,2020,Southampton,West Brom,2,0,H,1.72,3.8,4.75,1,0.5813953488372093,0.2631578947368421,0.21052631578947367,1.0550795593635252,0.5510440835266821,0.24941995359628769,0.19953596287703013,5.5079559363525155,-3.0300000000000002,0.3621051869252238,0.5423242908253617,1.33500106673234,1.55814461804655
2020-10-04,2020,Arsenal,Sheffield United,2,1,H,1.57,4.0,6.0,1,0.6369426751592356,0.25,0.16666666666666666,1.0536093418259023,0.6045340050377834,0.23727959697732998,0.15818639798488665,5.360934182590227,-4.43,0.2616666230555628,0.45107561936021673,1.3862943611198906,1.791759469228055
2020-10-04,2020,Wolves,Fulham,1,0,H,1.5,4.0,7.5,1,0.6666666666666666,0.25,0.13333333333333333,1.05,0.6349206349206349,0.23809523809523808,0.12698412698412698,5.000000000000004,-6.0,0.19999997333333688,0.4054651081081644,1.3862943611198906,2.0149030205422647
2020-10-04,2020,Man United,Tottenham,1,6,A,1.85,3.8,4.0,0,0.5405405405405405,0.2631578947368421,0.25,1.0536984352773826,0.5129935875801552,0.24974687816402294,0.2372595342558218,5.369843527738261,-2.15,0.4624998843750289,0.6151856390902335,1.33500106673234,1.3862943611198906
2020-10-04,2020,Aston Villa,Liverpool,7,2,H,10.0,5.5,1.3,1,0.1,0.18181818181818182,0.7692307692307692,1.051048951048951,0.09514304723885564,0.17298735861610115,0.7318695941450433,5.104895104895091,8.7,7.6923017751524805,2.302585092994046,1.7047480922384253,0.26236426446749106
2020-10-17,2020,Everton,Liverpool,2,2,D,3.75,4.2,1.83,1,0.26666666666666666,0.23809523809523808,0.5464480874316939,1.0512099921935987,0.25367592455072036,0.2264963612060003,0.5198277142432793,5.1209992193598675,1.92,2.0491792080987934,1.3217558399823195,1.4350845252893227,0.6043159668533296
